parameter,sparsity,loss,top1_acc
layer4.0.conv1,0.55,0.7144375051498413,0.7870000004768372
layer4.0.conv1,0.6000000000000001,0.714469832611084,0.7866999506950378
layer4.0.conv1,0.65,0.7139407968521119,0.786899983882904
layer4.0.conv1,0.7000000000000001,0.7133961486816406,0.786799967288971
layer4.0.conv1,0.75,0.7112715234756469,0.7870000004768372
layer4.0.conv1,0.8,0.7071248556137085,0.7872999906539917
layer4.0.conv1,0.8500000000000001,0.7037768993377685,0.7870000004768372
layer4.0.conv1,0.9,0.6957312072753906,0.7872999906539917
layer4.0.conv1,0.9500000000000001,0.6876854124069214,0.7841999530792236
layer4.0.conv2,0.0,0.7166622844696044,0.7874999642372131
layer4.0.conv2,0.05,0.716674935913086,0.7874999642372131
layer4.0.conv2,0.1,0.7166984476089477,0.7874999642372131
layer4.0.conv2,0.15000000000000002,0.716691375541687,0.7875999808311462
layer4.0.conv2,0.2,0.7166950494766235,0.7876999974250793
layer4.0.conv2,0.25,0.71664059715271,0.7878999710083008
layer4.0.conv2,0.30000000000000004,0.7165548910140991,0.7878999710083008
layer4.0.conv2,0.35000000000000003,0.7164285318374634,0.7876999974250793
layer4.0.conv2,0.4,0.7162455839157105,0.7878999710083008
layer4.0.conv2,0.45,0.7158051668167115,0.7875999808311462
layer4.0.conv2,0.5,0.715298579788208,0.7876999974250793
layer4.0.conv2,0.55,0.7148691341400146,0.7875999808311462
layer4.0.conv2,0.6000000000000001,0.7141772727966309,0.7874999642372131
layer4.0.conv2,0.65,0.7136189575195313,0.7876999974250793
layer4.0.conv2,0.7000000000000001,0.7124648584365845,0.7876999974250793
layer4.0.conv2,0.75,0.709576781463623,0.7871999740600586
layer4.0.conv2,0.8,0.7059967161178589,0.7876999974250793
layer4.0.conv2,0.8500000000000001,0.702894012260437,0.7879999876022339
layer4.0.conv2,0.9,0.6976374158859253,0.7879999876022339
layer4.0.conv2,0.9500000000000001,0.6881087545394897,0.7877999544143677
layer4.0.downsample.0,0.0,0.7166622844696044,0.7874999642372131
layer4.0.downsample.0,0.05,0.7166529756546021,0.7875999808311462
layer4.0.downsample.0,0.1,0.7167634330749512,0.7877999544143677
layer4.0.downsample.0,0.15000000000000002,0.7168340856552124,0.7876999974250793
layer4.0.downsample.0,0.2,0.7169999912261963,0.7876999974250793
layer4.0.downsample.0,0.25,0.7169900733947754,0.7872999906539917
layer4.0.downsample.0,0.30000000000000004,0.7171338991165161,0.786899983882904
layer4.0.downsample.0,0.35000000000000003,0.7170945169448852,0.786300003528595
layer4.0.downsample.0,0.4,0.7166852975845337,0.7870000004768372
layer4.0.downsample.0,0.45,0.7170044189453125,0.7866999506950378
layer4.0.downsample.0,0.5,0.7155385908126831,0.7860999703407288
layer4.0.downsample.0,0.55,0.7140956630706787,0.7861999869346619
layer4.0.downsample.0,0.6000000000000001,0.7153246902465821,0.7864999771118164
layer4.0.downsample.0,0.65,0.7135456876754761,0.7858999967575073
